"ResponseId","POINT_X","POINT_Y","ZIPCODE","AGE","GENDER","EDUCATION","HHINCOME","EMPLOYED","EMPLOYED_STUDENT","EMPLOYED_RETIRED","RACE","RACE_NATIVE","RACE_ASIAN","RACE_BLACK","RACE_MIDEAST","RACE_PACIFIC","RACE_WHITE","RACE_OTHER","RACE_HISPANIC","POLITICS","CONSERVATIVE","YEARS","PROPERTY","OWNERSHIP","PRIORITIZE_ENVIRON","RANK_ENVIRON","PRIORITY_ENVIRON","PRIORITY_ECONOMY","PRIORITY_INFRAST","PRIORITY_SOCSERV","PRIORITY_ACSNAT","PRIORITY_TRASH","PRIORITY_AIRQTY","PRIORITY_WTRQTY","PRIORITY_JOBINC","PRIORITY_WAGINC","PRIORITY_CSTLIV","PRIORITY_JOBDIV","PRIORITY_PEDCYC","PRIORITY_RODBRG","PRIORITY_UTILTY","PRIORITY_FLDPRT","PRIORITY_ACSEDU","PRIORITY_ACSHLT","PRIORITY_HOUSNG","PRIORITY_PUBTRN","NRELATEDNESS","NR_IMPPRT","NR_CONNCT","NR_SPIRIT","NR_NOTICE","NR_VACSPT","NR_AFFECT","PIDENTITY","PIDENTITY_IDENTY","PIDENTITY_SPCIAL","PIDENTITY_ATTCHD","SOLASTALGIA","SOLASTALGIA_BELONG","SOLASTALGIA_LOSSES","SOLASTALGIA_ASHAMD","SOLASTALGIA_DISAPR","SOLASTALGIA_UQLOSS","SOLASTALGIA_PEACEQ","SOLASTALGIA_DEGRAD","SOLASTALGIA_LFSTYL","SOLASTALGIA_FLEAVE","HOPEPATH_SELFEFF","HOPEPATH_RESPEFF","HOPEPATH_WAYFIX","HOPEPATH_KNOWLG","HOPEPATH_CANFIX","HOPEPATH_RESOLV","HOPEPATH_ENOUGH","SWELLBEING","MHI","MHI_SCORE","MHI_ANXIETY","MHI_DEPRESN","MHI_A1","MHI_A2","MHI_D1","MHI_D2","MHI_D3","LIFESATISFACTION","ECOANXIETY_SCORE","ECOANXIETY_CAT","ECOANXIETY_1","ECOANXIETY_2","ECOANXIETY_3","ECOANXIETY_4","ECOANXIETY_5","ECOANXIETY_6","ECOANXIETY_7","JUSTICE","JUSTICE_DIST","JUSTICE_PRO","JUSTICE_REC","JUSTICE_AGN","ATTITUDE_BAYLNK","ATTITUDE_BAYIMP","ATTITUDE_BIODIV","ATTITUDE_OPPSAT","ATTITUDE_SAFOUT","ATTITUDE_OUTWEL","ATTITUDE_SWMSAF","ATTITUDE_CHNGFW","ATTITUDE_CHNGRN","ATTITUDE_CHNGTP","ATTITUDE_CHNGHS","ATTITUDE_CCTHRT","GROUP_INVOLVEMENT","GROUP_ARTCLT","GROUP_ENVPRT","GROUP_HOANBH","GROUP_POLTCL","GROUP_SPIRIT","GROUP_CHLPAR","GROUP_SPORTS","ACTIVE_COUNT","PASSIVE_COUNT","ATTRACT_COUNT","ACTIVE_AVG","PASSIVE_AVG","ATTRACT_AVG","ACTIVITY_CMPHIK","ACTIVITY_PADBOT","ACTIVITY_SWIMDV","ACTIVITY_BWATCH","ACTIVITY_GARDEN","ACTIVITY_FISHNG","ACTIVITY_EXRCSO","ACTIVITY_RELAXO","ACTIVITY_PICNIC","ACTIVITY_PLYGND","ACTIVITY_ZOOAQU","ACTIVITY_LSNPRK","ACTIVITY_HSTSIT","ACTIVITY_BEACH","ACTIVITY_PIER","BEHAVIOR_FERTLZ","BEHAVIOR_WATER","BEHAVIOR_CLPPNG","BEHAVIOR_GRNINF","BEHAVIOR_NODRIV","BEHAVIOR_RECYCL","BEHAVIOR_PLNTFF","BEHAVIOR_RESTOR","BEHAVIOR_FERTLZweight","FERTLZ_SEASON_N","FERTLZ_SPRING","FERTLZ_SUMMER","FERTLZ_FALL","FERTLZ_WINTER","NORM_FERTLZ","NORM_WATER","NORM_CLPPNG","NORM_GRNINF","NORM_NODRIV","NORM_RECYCL","NORM_PLNTFF","NORM_RESTOR","FISH_LOCATN_N","FISH_LOC_SHORE","FISH_LOC_PIER","FISH_LOC_WATER","FISH_REASON_N","FISH_RSN_SPORT","FISH_RSN_RELAX","FISH_RSN_FOOD","FISH_RSN_SELL","FISH_RSN_WATCH","FISH_RSN_SOCIAL","KNOWLEDGE_WQTRND","KNOWLEDGE_NUTRNT","KNOWLEDGE_SOURCE","KNOWLEDGE_FRTSSN","KNOWLEDGE_SGLOSS","KNOWLEDGE_WQTRND_C","KNOWLEDGE_NUTRNT_C","KNOWLEDGE_SOURCE_C","KNOWLEDGE_FRTSSN_C","KNOWLEDGE_SGLOSS_C","KNOWLEDGE_POINTS","KNOWLEDGE_SCORE","KNOWLEDGE_SCORE_Pct","INFOSOURCES_N","INFO_TV","INFO_RADIO","INFO_PERIOD","INFO_SOCIAL","INFO_MAILE","INFO_GOV","INFO_NGO","INFO_PUBLIC","INFO_WORD","INFO_OWN","REFERRAL","AUDIENCE"
"R_10nAxRSf1xOeyUF",NA,NA,33611,"25 - 34","Male","Master's degree","$75,000 - $99,999","Full-time",0,0,"White",0,0,0,0,0,1,0,0,"Neutral",0,"10 - 19 years","Single-family home","Rent",1,"Top",4,2,3.5,1.5,4,4,4,4,0,4,4,0,2,4,4,4,0,0,4,2,2.33333333333333,2,2,2,3,2,3,2.66666666666667,1,3,4,1.28571428571429,1,1,1,1,2,1,3,0,1,2,2,3,1,2,0,2,2.66666666666667,2.6,13,6,7,3,3,2,2,3,3,9,"Mild",2,2,2,0,1,1,1,1.33333333333333,2,2,0,3,4,0,2,2,2,1,2,0,1,0,2,1,0.857142857142857,1,1,1,1,1,1,0,5,3,6,1.16666666666667,2.33333333333333,2.66666666666667,2,1,1,1,2,0,3,2,2,2,2,3,3,2,4,3,3,2,3,2,2,3,3,"About once a week",1,1,0,0,0,0,0,0,-1,0,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Remained about the same","Phosphorus","Wastewater","Spring (March - May)","Boat propeller blades",0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,1,"Panel","Public"
"R_10pjhNJuh7kDZgJ",503192.159967,1350280.27275,33612,"25 - 34","Male","Bachelor's degree","$75,000 - $99,999","Full-time",0,0,"White",0,0,0,0,0,1,0,0,"Neutral",0,"5 - 9 years","Single-family home","Own",1,"Top",3,2.75,2.5,2.75,3,4,2,3,2,3,4,2,4,1,2,3,4,2,3,2,3.16666666666667,3,3,4,2,3,4,2.66666666666667,3,2,3,3,3,3,3,4,2,2,3,4,4,2.5,0.5,2,3,0,4,1,2.33333333333333,2.6,13,7,6,4,3,2,2,2,1,12,"Moderate",1,3,3,1,1,1,2,1.66666666666667,2,2,1,1,1,3,3,2,3,1,2,3,3,4,4,4,1.14285714285714,1,2,1,2,0,0,2,6,3,6,3.16666666666667,3.66666666666667,1.5,3,3,4,3,4,2,4,4,3,3,2,1,1,1,1,0,0,1,1,1,2,0,0,NA,NA,NA,NA,NA,NA,0,1,-1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,"Remained about the same","Phosphorus","Vehicle emissions","Fall (October - November)","Increased ocean temperature",7,3,4,5,4,0,0,0,4,1,0,1,0,0,0,1,0,0,0,"Panel","Public"
"R_10q71xkAGGvNPBV",532831.530925,1272937.108,33534,"35 - 44","Male","Associate degree","$50,000 - $74,999","Full-time",0,0,"Multiple",1,0,1,0,0,1,0,0,"Slightly conservative",1,"20 years or more","Single-family home","Rent",1,"Top",4,3.5,2.75,3.25,4,4,4,4,2,4,4,4,4,3,3,1,4,4,4,1,3.66666666666667,2,4,4,4,4,4,4,4,4,4,1.42857142857143,4,4,1,1,4,0,0,0,0,3.5,3.5,4,3,3,4,4,4.66666666666667,4.6,23,10,13,5,5,5,3,5,5,3,"Low",0,1,1,0,1,0,0,1,0,0,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0.714285714285714,1,1,0,0,1,1,1,5,3,6,1,3.33333333333333,1.33333333333333,0,1,1,1,1,2,4,4,2,2,1,1,1,1,2,1,1,3,0,1,3,3,0,"2",4,1,1,1,1,0,0,-1,-1,-1,0,0,0,3,1,1,1,5,1,1,1,0,1,1,"Improved","Phosphorus","Industrial discharges into the bay","Summer (June - September)","Nutrient pollution",9,6,5,5,7,2.5,1.75,35,3,1,1,0,0,0,1,0,0,0,0,"Panel","Public"
"R_10VfTvMlfz5sx00",NA,NA,33710,"25 - 34","Female","Bachelor's degree","$50,000 - $74,999","Full-time",0,0,"Black",0,0,1,0,0,0,0,0,"Slightly liberal",-1,"20 years or more","Single-family home","Rent",0,"Bottom",2,3,2.5,3.25,2,2,2,2,2,4,4,2,1,4,2,3,4,4,2,3,0.833333333333333,0,1,0,1,1,2,4,4,4,4,1.57142857142857,0,2,1,2,1,1,3,1,3,1,3,1,1,3,0,3,3.5,3.8,19,7,12,4,3,2,5,5,2,2,"Low",1,0,0,0,0,0,1,3,4,3,2,3,4,3,4,3,2,3,3,0,3,3,1,3,0.571428571428571,0,0,1,0,1,1,1,3,3,6,0.833333333333333,3.33333333333333,1.33333333333333,1,0,2,0,2,0,4,4,2,1,1,1,1,2,2,0,0,0,0,4,1,0,0,NA,NA,NA,NA,NA,NA,2,2,2,2,-2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Declined","Nitrogen","Stormwater runoff","Summer (June - September)","Increased ocean temperature",8,1,1,0,0,3,0.2,4,3,1,0,0,1,0,0,1,0,0,0,"Panel","Public"
"R_116Ns50akxSh71t",482089.216518,1363707.42242,33624,"35 - 44","Female","Doctoral degree","$100,000 or more","Full-time",0,0,"White",0,0,0,0,0,1,0,0,"Moderately liberal",-2,"20 years or more","Single-family home","Own",0,"Bottom",2.5,3,2.5,3,3,3,2,2,4,3,3,2,4,2,2,2,4,3,2,3,1.83333333333333,2,2,1,3,1,2,3,3,3,3,1.28571428571429,0,2,0,2,2,1,1,1,4,1,3.5,1,1,4,2,3,2.33333333333333,2.6,13,3,10,1,2,3,3,4,1,9,"Mild",1,2,1,1,1,2,1,2.66666666666667,3,3,2,4,4,3,3,2,2,4,3,1,1,2,2,2,0.714285714285714,1,1,1,0,0,1,1,5,3,6,1.33333333333333,3,1.83333333333333,1,1,0,1,3,2,3,3,3,3,2,2,1,2,1,1,2,2,0,3,3,0,1,"A few times",1,1,0,0,0,1,2,1,2,1,0,2,1,1,1,0,0,1,1,0,0,0,0,0,"Declined","Phosphorus","Stormwater runoff","Summer (June - September)","Nutrient pollution",4,4,4,4,4,2.5,1,20,4,1,0,1,1,0,0,0,0,0,0,"Panel","Public"
"R_11BObanEXgCq3xf",426829.243716,1355727.93166,34684,"35 - 44","Female","Associate degree","$75,000 - $99,999","Full-time",0,0,"White",0,0,0,0,0,1,0,0,"Moderately conservative",2,"1 - 4 years","Apartment","Rent",1,"Top",4,3,3,2.25,4,4,4,4,1,4,4,3,2,2,4,4,4,3,2,0,3.66666666666667,4,4,4,4,3,3,3,3,3,3,2.85714285714286,2,3,2,4,2,4,4,1,4,1,2.5,1,1,2,2,3,4,4,20,7,13,5,2,4,4,5,4,2,"Low",1,0,0,0,0,0,1,2.33333333333333,3,2,2,3,4,4,3,4,3,4,3,1,0,0,1,1,0.571428571428571,0,1,0,0,1,2,0,4,3,6,0.833333333333333,2,2.33333333333333,1,1,1,2,0,0,3,2,1,4,1,3,2,3,1,NA,NA,NA,NA,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Remained about the same","Silica","Industrial discharges into the bay","Winter (December - February)","Microplastics",3,0,8,1,5,0,0,0,4,0,0,0,1,1,0,0,0,1,1,"Panel","Public"
"R_11nGB4Uw7RLyKlf",478063.918853,1150905.04572,34208,"35 - 44","Female","Bachelor's degree","$25,000 - $49,999","Unemployed",0,0,"Asian",0,1,0,0,0,0,0,0,"Slightly conservative",1,"10 - 19 years","Apartment","Rent",0,"Bottom",2.25,3,2.5,3,3,2,2,2,3,3,4,2,2,2,3,3,2,4,4,2,2.83333333333333,1,4,3,4,2,3,3.33333333333333,3,3,4,2.57142857142857,0,1,1,4,3,4,4,1,0,1,0,1,1,0,3,0,0.5,0.6,3,1,2,0,1,2,0,0,0,21,"Severe",3,3,3,3,3,3,3,2.66666666666667,3,2,3,3,4,4,3,2,1,4,0,1,1,4,4,1,0.571428571428571,0,0,0,0,2,0,2,2,3,4,0.833333333333333,3.66666666666667,0.833333333333333,0,0,0,1,0,4,4,4,3,1,0,2,0,1,1,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,0,-1,-1,3,1,1,1,5,1,1,1,0,1,1,"Remained about the same","Phosphorus","Stormwater runoff","Summer (June - September)","Boat propeller blades,Increased ocean temperature,Microplastics,Nutrient pollution",10,0,0,3,2,2.5,0.4,8,3,0,0,0,0,0,1,0,0,1,1,"Panel","Public"
"R_11oT89sSBajKHL6",415318.994185,1311091.43563,33771,"35 - 44","Female","Associate degree","$75,000 - $99,999","Part-time",0,0,"White",0,0,0,0,0,1,0,0,"Slightly conservative",1,"20 years or more","Single-family home","Own",0,"Bottom",2,2,3,2.75,2,1,2,3,1,2,4,1,3,3,3,3,4,2,4,1,2.83333333333333,2,4,3,4,2,2,3,3,3,3,1,1,2,1,2,1,0,1,0,4,1.5,4,1,2,4,2,4,2.33333333333333,2.6,13,6,7,4,2,2,2,3,1,3,"Low",0,1,0,1,1,0,0,2.66666666666667,3,3,2,1,3,3,2,3,1,4,3,0,0,0,0,0,0.714285714285714,1,0,1,0,1,1,1,6,3,6,1.83333333333333,3.66666666666667,2.16666666666667,2,1,2,1,3,2,3,4,4,4,1,2,2,3,1,0,2,0,1,1,2,2,1,NA,NA,NA,NA,NA,NA,2,1,2,1,1,0,1,1,2,1,0,1,3,1,1,0,0,1,0,"Declined","Phosphorus","Stormwater runoff","Summer (June - September)","Boat propeller blades,Nutrient pollution",3,1,2,2,4,3,0.8,16,8,1,0,1,0,1,1,1,0,1,1,"Panel","Public"
"R_11Wj9Zk1LXsiTHX",515997.834473,1362175.66705,33613,"45 - 54","Female","Associate degree","$25,000 - $49,999","Full-time",0,0,"White",0,0,0,0,0,1,0,0,"Moderately liberal",-2,"10 - 19 years","Apartment","Rent",0,"Bottom",2.25,3.5,2.5,2.75,2,3,2,2,3,4,3,4,3,2,2,3,2,4,4,1,2.83333333333333,2,3,3,3,4,2,2.33333333333333,3,2,2,3.28571428571429,3,3,3,4,3,4,3,3,0,1.5,3,2,1,4,3,2,2.5,2.6,13,7,6,5,2,2,2,2,2,2,"Low",0,0,0,1,1,0,0,1.66666666666667,2,2,1,3,4,3,4,2,0,4,2,1,3,3,0,3,0.571428571428571,1,2,0,0,1,0,0,2,3,5,0.333333333333333,1.33333333333333,1.16666666666667,0,0,1,1,0,0,1,2,1,0,2,1,1,2,1,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Declined","Phosphorus","Stormwater runoff","Summer (June - September)","Increased ocean temperature,Microplastics,Nutrient pollution",4,2,4,4,3,2.5,0.95,19,1,0,0,0,1,0,0,0,0,0,0,"Panel","Public"
"R_11Y2hpZi91uGcTT",496393.991862,1083226.55724,34232,"45 - 54","Male","Bachelor's degree","$100,000 or more","Full-time",0,0,"White",0,0,0,0,0,1,0,0,"Moderately conservative",2,"20 years or more","Single-family home","Own",0,"Bottom",2.5,3,3,2.5,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2.66666666666667,3,4,2,2,2,3,2.66666666666667,2,3,3,2.14285714285714,3,2,2,3,2,2,2,2,2,2,1,2,2,1,2,1,2.83333333333333,2.6,13,6,7,2,4,3,2,2,4,11,"Moderate",1,1,2,2,2,2,1,1.66666666666667,1,1,3,2,1,2,2,2,2,1,2,3,4,2,2,2,0.857142857142857,1,1,1,1,1,1,0,6,3,6,2.33333333333333,3.33333333333333,1.83333333333333,2,3,3,2,2,2,3,4,3,2,1,1,1,3,3,2,2,2,2,2,2,2,2,"4",1,0,1,0,0,0,1,0,0,0,0,-1,-1,2,0,1,1,2,0,1,0,0,1,0,"Improved","Carbon","Stormwater runoff","Winter (December - February)","Microplastics",9,9,9,9,9,2,1.8,36,2,0,0,0,1,0,1,0,0,0,0,"Panel","Public"
